25-01-04.05:23:53.352 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:25:25.286 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:31:17.046 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:32:16.285 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:38:07.746 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:48:08.278 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:49:48.213 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:50:46.113 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:52:03.921 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.05:52:14.935 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:14.957 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:14.973 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:14.990 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.006 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.028 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.052 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.068 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.083 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.097 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.110 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.154 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.184 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.208 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.231 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.252 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.267 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.282 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.292 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.05:52:15.306 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:47.708 [main            ] WARN  DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
25-01-04.06:00:59.594 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.608 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.622 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.632 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.645 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.657 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.671 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
25-01-04.06:00:59.684 [main            ] WARN  RaffleOrderTest        - 活动未开启（非open状态）
